workload,seed,regime,experiment,policy,selected_candidate,applied_candidate,applied_action,placement,certificate_issued,fallback_used,fallback_reason,certificate_expiry,selection_risk,selection_risk_lcb,selection_risk_ucb,false_qualification,action_loss,quality_loss,service_violation,delay_s,oracle_candidate,oracle_placement,oracle_action_loss,regret,qpu_selected,qpu_beneficial
qaoa_large,120,qpu_opportunity,shifted_queue_deployment,capo_static,4.0,4,qpu_B,qpu_B,True,False,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,0.08333333333333333,0.03417930132313617,0.16328073769089985,False,0.03837295349722062,0.00845003865137665,0.03,0.23487912615541678,4,qpu_B,0.03837295349722062,0.0,True,True
qaoa_large,120,qpu_opportunity,shifted_queue_deployment,capo_expire_fallback,,-1,validated_local_fallback,validated_local_fallback,False,True,detected_queue_regime_shift,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.03837295349722062,0.26162704650277935,False,True
qaoa_large,120,qpu_opportunity,shifted_queue_deployment,capo_rolling_recert,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.03837295349722062,0.26162704650277935,False,True
qaoa_large,120,qpu_opportunity,shifted_queue_deployment,empirical_rolling,4.0,4,qpu_B,qpu_B,False,False,no_candidate_met_empirical_risk_target,expired_at_detected_queue_regime_change,0.08333333333333333,0.03417930132313617,0.16328073769089985,False,0.03837295349722062,0.00845003865137665,0.03,0.23487912615541678,4,qpu_B,0.03837295349722062,0.0,True,True
qaoa_large,120,qpu_opportunity,shifted_queue_deployment,classical_only,,-1,validated_local_fallback,validated_local_fallback,False,True,local_policy_only,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.03837295349722062,0.26162704650277935,False,True
qaoa_large,121,qpu_opportunity,shifted_queue_deployment,capo_static,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,-1,validated_local_fallback,0.3,0.0,False,False
qaoa_large,121,qpu_opportunity,shifted_queue_deployment,capo_expire_fallback,,-1,validated_local_fallback,validated_local_fallback,False,True,detected_queue_regime_shift,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,-1,validated_local_fallback,0.3,0.0,False,False
qaoa_large,121,qpu_opportunity,shifted_queue_deployment,capo_rolling_recert,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,-1,validated_local_fallback,0.3,0.0,False,False
qaoa_large,121,qpu_opportunity,shifted_queue_deployment,empirical_rolling,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_empirical_risk_target,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,-1,validated_local_fallback,0.3,0.0,False,False
qaoa_large,121,qpu_opportunity,shifted_queue_deployment,classical_only,,-1,validated_local_fallback,validated_local_fallback,False,True,local_policy_only,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,-1,validated_local_fallback,0.3,0.0,False,False
qaoa_large,122,qpu_opportunity,shifted_queue_deployment,capo_static,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.08175005233664823,0.21824994766335176,False,True
qaoa_large,122,qpu_opportunity,shifted_queue_deployment,capo_expire_fallback,,-1,validated_local_fallback,validated_local_fallback,False,True,detected_queue_regime_shift,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.08175005233664823,0.21824994766335176,False,True
qaoa_large,122,qpu_opportunity,shifted_queue_deployment,capo_rolling_recert,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.08175005233664823,0.21824994766335176,False,True
qaoa_large,122,qpu_opportunity,shifted_queue_deployment,empirical_rolling,4.0,4,qpu_B,qpu_B,False,False,no_candidate_met_empirical_risk_target,expired_at_detected_queue_regime_change,0.05,0.01449349158464424,0.11932817052433192,False,0.08175005233664823,0.023305234372404754,0.06,0.30845556659831463,4,qpu_B,0.08175005233664823,0.0,True,True
qaoa_large,122,qpu_opportunity,shifted_queue_deployment,classical_only,,-1,validated_local_fallback,validated_local_fallback,False,True,local_policy_only,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.08175005233664823,0.21824994766335176,False,True
qaoa_large,123,qpu_opportunity,shifted_queue_deployment,capo_static,4.0,4,qpu_B,qpu_B,True,False,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,0.041666666666666664,0.010303447134059422,0.10770401846553047,False,0.05093588447770043,0.0009358844777004267,0.05,0.2943211925067605,4,qpu_B,0.05093588447770043,0.0,True,True
qaoa_large,123,qpu_opportunity,shifted_queue_deployment,capo_expire_fallback,,-1,validated_local_fallback,validated_local_fallback,False,True,detected_queue_regime_shift,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.05093588447770043,0.24906411552229957,False,True
qaoa_large,123,qpu_opportunity,shifted_queue_deployment,capo_rolling_recert,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.05093588447770043,0.24906411552229957,False,True
qaoa_large,123,qpu_opportunity,shifted_queue_deployment,empirical_rolling,4.0,4,qpu_B,qpu_B,False,False,no_candidate_met_empirical_risk_target,expired_at_detected_queue_regime_change,0.041666666666666664,0.010303447134059422,0.10770401846553047,False,0.05093588447770043,0.0009358844777004267,0.05,0.2943211925067605,4,qpu_B,0.05093588447770043,0.0,True,True
qaoa_large,123,qpu_opportunity,shifted_queue_deployment,classical_only,,-1,validated_local_fallback,validated_local_fallback,False,True,local_policy_only,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.05093588447770043,0.24906411552229957,False,True
qaoa_large,124,qpu_opportunity,shifted_queue_deployment,capo_static,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.1943674740056439,0.1056325259943561,False,True
qaoa_large,124,qpu_opportunity,shifted_queue_deployment,capo_expire_fallback,,-1,validated_local_fallback,validated_local_fallback,False,True,detected_queue_regime_shift,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.1943674740056439,0.1056325259943561,False,True
qaoa_large,124,qpu_opportunity,shifted_queue_deployment,capo_rolling_recert,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.1943674740056439,0.1056325259943561,False,True
qaoa_large,124,qpu_opportunity,shifted_queue_deployment,empirical_rolling,4.0,4,qpu_B,qpu_B,False,False,no_candidate_met_empirical_risk_target,expired_at_detected_queue_regime_change,0.05,0.01449349158464424,0.11932817052433192,False,0.1943674740056439,0.09575244888774216,0.14,0.3326623415469621,4,qpu_B,0.1943674740056439,0.0,True,True
qaoa_large,124,qpu_opportunity,shifted_queue_deployment,classical_only,,-1,validated_local_fallback,validated_local_fallback,False,True,local_policy_only,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.1943674740056439,0.1056325259943561,False,True
qaoa_large,125,qpu_opportunity,shifted_queue_deployment,capo_static,4.0,4,qpu_B,qpu_B,True,False,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,0.075,0.02891737485852507,0.15259451084178496,False,0.05671344206966122,0.006941369140623269,0.05,0.1553055533918842,4,qpu_B,0.05671344206966122,0.0,True,True
qaoa_large,125,qpu_opportunity,shifted_queue_deployment,capo_expire_fallback,,-1,validated_local_fallback,validated_local_fallback,False,True,detected_queue_regime_shift,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.05671344206966122,0.24328655793033876,False,True
qaoa_large,125,qpu_opportunity,shifted_queue_deployment,capo_rolling_recert,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.05671344206966122,0.24328655793033876,False,True
qaoa_large,125,qpu_opportunity,shifted_queue_deployment,empirical_rolling,4.0,4,qpu_B,qpu_B,False,False,no_candidate_met_empirical_risk_target,expired_at_detected_queue_regime_change,0.075,0.02891737485852507,0.15259451084178496,False,0.05671344206966122,0.006941369140623269,0.05,0.1553055533918842,4,qpu_B,0.05671344206966122,0.0,True,True
qaoa_large,125,qpu_opportunity,shifted_queue_deployment,classical_only,,-1,validated_local_fallback,validated_local_fallback,False,True,local_policy_only,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.05671344206966122,0.24328655793033876,False,True
qaoa_large,126,qpu_opportunity,shifted_queue_deployment,capo_static,4.0,4,qpu_B,qpu_B,True,False,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,0.075,0.02891737485852507,0.15259451084178496,False,0.05570420265924872,0.026355402810604524,0.03,0.27909003417504463,4,qpu_B,0.05570420265924872,0.0,True,True
qaoa_large,126,qpu_opportunity,shifted_queue_deployment,capo_expire_fallback,,-1,validated_local_fallback,validated_local_fallback,False,True,detected_queue_regime_shift,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.05570420265924872,0.24429579734075127,False,True
qaoa_large,126,qpu_opportunity,shifted_queue_deployment,capo_rolling_recert,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.05570420265924872,0.24429579734075127,False,True
qaoa_large,126,qpu_opportunity,shifted_queue_deployment,empirical_rolling,4.0,4,qpu_B,qpu_B,False,False,no_candidate_met_empirical_risk_target,expired_at_detected_queue_regime_change,0.075,0.02891737485852507,0.15259451084178496,False,0.05570420265924872,0.026355402810604524,0.03,0.27909003417504463,4,qpu_B,0.05570420265924872,0.0,True,True
qaoa_large,126,qpu_opportunity,shifted_queue_deployment,classical_only,,-1,validated_local_fallback,validated_local_fallback,False,True,local_policy_only,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.05570420265924872,0.24429579734075127,False,True
qaoa_large,127,qpu_opportunity,shifted_queue_deployment,capo_static,5.0,5,qpu_B,qpu_B,True,False,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,0.025,0.0034184143287732762,0.08320493105207519,False,0.08319186922665123,0.03514883332072515,0.05,0.2853010309692673,5,qpu_B,0.08319186922665123,0.0,True,True
qaoa_large,127,qpu_opportunity,shifted_queue_deployment,capo_expire_fallback,,-1,validated_local_fallback,validated_local_fallback,False,True,detected_queue_regime_shift,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,5,qpu_B,0.08319186922665123,0.21680813077334876,False,True
qaoa_large,127,qpu_opportunity,shifted_queue_deployment,capo_rolling_recert,5.0,5,qpu_B,qpu_B,True,False,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,0.025,0.0034184143287732762,0.08320493105207519,False,0.08319186922665123,0.03514883332072515,0.05,0.2853010309692673,5,qpu_B,0.08319186922665123,0.0,True,True
qaoa_large,127,qpu_opportunity,shifted_queue_deployment,empirical_rolling,5.0,5,qpu_B,qpu_B,False,False,no_candidate_met_empirical_risk_target,expired_at_detected_queue_regime_change,0.025,0.0034184143287732762,0.08320493105207519,False,0.08319186922665123,0.03514883332072515,0.05,0.2853010309692673,5,qpu_B,0.08319186922665123,0.0,True,True
qaoa_large,127,qpu_opportunity,shifted_queue_deployment,classical_only,,-1,validated_local_fallback,validated_local_fallback,False,True,local_policy_only,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,5,qpu_B,0.08319186922665123,0.21680813077334876,False,True
qaoa_large,128,qpu_opportunity,shifted_queue_deployment,capo_static,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,-1,validated_local_fallback,0.3,0.0,False,False
qaoa_large,128,qpu_opportunity,shifted_queue_deployment,capo_expire_fallback,,-1,validated_local_fallback,validated_local_fallback,False,True,detected_queue_regime_shift,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,-1,validated_local_fallback,0.3,0.0,False,False
qaoa_large,128,qpu_opportunity,shifted_queue_deployment,capo_rolling_recert,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,-1,validated_local_fallback,0.3,0.0,False,False
qaoa_large,128,qpu_opportunity,shifted_queue_deployment,empirical_rolling,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_empirical_risk_target,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,-1,validated_local_fallback,0.3,0.0,False,False
qaoa_large,128,qpu_opportunity,shifted_queue_deployment,classical_only,,-1,validated_local_fallback,validated_local_fallback,False,True,local_policy_only,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,-1,validated_local_fallback,0.3,0.0,False,False
qaoa_large,129,qpu_opportunity,shifted_queue_deployment,capo_static,,-1,validated_local_fallback,validated_local_fallback,False,True,no_candidate_met_simultaneous_bound,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.06204727446575013,0.23795272553424984,False,True
qaoa_large,129,qpu_opportunity,shifted_queue_deployment,capo_expire_fallback,,-1,validated_local_fallback,validated_local_fallback,False,True,detected_queue_regime_shift,expired_at_detected_queue_regime_change,,,,False,0.3,0.3,0.0,0.002,4,qpu_B,0.06204727446575013,0.23795272553424984,False,True
